"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"log_inconnu-2021.06.28","51792601199","40218913","0","0",,,"DELETED_INDEX"
"metricbeat-7.5.2-2021.05.22-000011","416","0","0","0",,,"DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.02","867712652","207245","0","0.808120381087065","867712652","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.01","756268465","182419","0","0.704329893924296","756268465","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.04","791934911","192034","0","0.7375468602404","791934911","DELETE_INDEX","DELETED_INDEX"
"logstash-network-snmptrap-cacti-test-2021.03.03","945579403","220873","0","0.880639444105327","945579403","DELETE_INDEX","DELETED_INDEX"
"log_inconnu-2021.06.30","51259823577","35978539","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.18","51187600622","40424644","0","0",,,"DELETED_INDEX"
"shrink-filebeat-7.0.1-2021.05.05-000025","416","0","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.19","51315107519","40570920","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.16","53012785393","41449003","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.17","51488571135","40950040","0","0",,,"DELETED_INDEX"
"filebeat-7.10.2-2021.03.13","394501945","835493","0","0.367408567108214","394501945","DELETE_INDEX","DELETED_INDEX"
"pulsesecure-syslog-2021.04.13","868339","495","0","0",,,"DELETED_INDEX"
"pulsesecure-syslog-2021.04.14","1427821","1530","0","0",,,"DELETED_INDEX"
".ml-anomalies-custom-windows_anomalous_user_name_ecs","566","0","0","0",,,"DELETED_INDEX"
"pulsesecure-syslog-2021.04.15","581085","406","0","0",,,"DELETED_INDEX"
"heartbeat-7.10.2-2021.02.17-000001","2036820681","355154","0","1.89693708065897","2036820681","DELETE_INDEX","DELETED_INDEX"
"pulsesecure-syslog-2021.04.16","448241","192","0","0",,,"DELETED_INDEX"
"pulsesecure-syslog-2021.04.10","416636","171","0","0",,,"DELETED_INDEX"
"filebeat-7.10.2-2021.03.10","3771651721","8096723","0","3.51262439135462","3771651721","DELETE_INDEX","DELETED_INDEX"
"pulsesecure-syslog-2021.04.11","316909","153","0","0",,,"DELETED_INDEX"
"filebeat-7.10.2-2021.03.11","6647440319","14523247","0","6.19091123249382","6647440319","DELETE_INDEX","DELETED_INDEX"
"filebeat-7.10.2-2021.03.12","7829079359","17180771","0","7.29139834549278","7829079359","DELETE_INDEX","DELETED_INDEX"
"pulsesecure-syslog-2021.04.12","1286631","1074","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.25","51248303326","39946552","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.26","51520102985","40633269","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.23","51704016077","40704828","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.24","49964862787","39654331","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.21","51515321006","40824626","0","0",,,"DELETED_INDEX"
"pulsesecure-syslog-2021.04.17","296521","153","0","0",,,"DELETED_INDEX"
"pulsesecure-syslog-2021.04.18","355806","153","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.22","51594328903","41216655","0","0",,,"DELETED_INDEX"
"pulsesecure-syslog-2021.04.19","873860","558","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.20","51609148580","40612549","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.09","52102078925","40193657","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.07","51062439415","39771016","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.08","51723528768","39975864","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.05","51626457732","39807697","0","0",,,"DELETED_INDEX"
".reporting-2020.05.24","5115994","9","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.06","50298359635","39552814","0","0",,,"DELETED_INDEX"
"pulsesecure-syslog-2021.04.24","350355","169","0","0",,,"DELETED_INDEX"
"pulsesecure-syslog-2021.04.25","237444","153","0","0",,,"DELETED_INDEX"
"pulsesecure-syslog-2021.04.26","716113","349","0","0",,,"DELETED_INDEX"
"metricbeat-7.10.0-2021.05.27-000020","416","0","0","0",,,"DELETED_INDEX"
"pulsesecure-syslog-2021.04.27","477178","306","0","0",,,"DELETED_INDEX"
"pulsesecure-syslog-2021.04.20","1036975","671","0","0",,,"DELETED_INDEX"
"pulsesecure-syslog-2021.04.21","808797","570","0","0",,,"DELETED_INDEX"
"pulsesecure-syslog-2021.04.22","1279460","1128","0","0",,,"DELETED_INDEX"
"pulsesecure-syslog-2021.04.23","458979","233","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.14","54055361363","41567284","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.15","52222330413","41675197","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.12","51370255920","40533598","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.13","50923918770","40089869","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.10","52880032365","42224711","0","0",,,"DELETED_INDEX"
"pulsesecure-syslog-2021.04.28","509715","265","0","0",,,"DELETED_INDEX"
"log_inconnu-2021.06.11","52203747551","40776686","0","0",,,"DELETED_INDEX"
