"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"winlogbeat-6.6.1-2021.03.15","1536057017","1570963","0","1.43056457582861","1536057017","DELETE_INDEX","DELETED_INDEX"
"magento_integration_0553-2021.05.13","18681228","30025","0","0",,,"DELETED_INDEX"
"metricbeat-7.13.2-2021.06.27-000002","107547086791","155892455","0","0",,,"DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.14","1655874008","1679059","0","1.54215284436941","1655874008","DELETE_INDEX","DELETED_INDEX"
"magento_integration_0553-2021.05.12","16230387","25411","0","0",,,"DELETED_INDEX"
"apigw_dev_policyviolationevents","197381","10","0","0",,"no_timestamp","DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.17","1870287757","2068617","0","1.74184120912105","1870287757","DELETE_INDEX","DELETED_INDEX"
"magento_integration_0553-2021.05.15","10504663","17916","0","0",,,"DELETED_INDEX"
"magento_integration_0553-2021.05.14","17884380","29973","0","0",,,"DELETED_INDEX"
"winlogbeat-6.6.1-2021.03.16","1766395780","1887027","0","1.64508426561952","1766395780","DELETE_INDEX","DELETED_INDEX"
"magento_integration_0553-2021.05.20","14751749","24411","0","0",,,"DELETED_INDEX"
"magento_integration_0553-2021.05.22","10751695","19253","0","0",,,"DELETED_INDEX"
"magento_integration_0553-2021.05.21","17740581","32342","0","0",,,"DELETED_INDEX"
"metricbeat-7.10.0-2021.06.10-000022","416","0","0","0",,,"DELETED_INDEX"
"filebeat-6.2.2-2021.03.31","850292","1473","0","0.000791896134614944","850292","DELETE_INDEX","DELETED_INDEX"
"filebeat-6.2.2-2021.03.30","985611","1704","0","0.000917921774089336","985611","DELETE_INDEX","DELETED_INDEX"
"inspire_audit_log_prod-2021.04.26","486878","13","0","0",,,"DELETED_INDEX"
"inspire_audit_log_prod-2021.04.20","734835","19","0","0",,,"DELETED_INDEX"
"nontraite-syslog-2021.03.30","1671851","2337","0","0.00155703257769346","1671851","DELETE_INDEX","DELETED_INDEX"
"inspire_audit_log_prod-2021.04.21","698353","19","0","0",,,"DELETED_INDEX"
"nontraite-syslog-2021.03.31","1617760","2436","0","0.00150665640830994","1617760","DELETE_INDEX","DELETED_INDEX"
"inspire_audit_log_prod-2021.04.28","1435976","575","0","0",,,"DELETED_INDEX"
