"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"log_inconnu-2021.06.29","50915486931","39867882","39867882","0",,,""
"log_inconnu-2021.06.27","51551197516","40082467","40082467","0",,,""
"log_inconnu-2021.06.28","51792601199","40218913","40218913","0",,,""
"logstash-syslog-2021.08.03","107312","108","0","0",,,""
"shrink-i6q--abc_audit_log_prod-2021.08.17-000041","416","0","0","0",,,""
"pulsesecure-syslog-2021.06.21","327810","239","239","0",,,""
"pulsesecure-syslog-2021.06.20","305915","167","167","0",,,""
"metricbeat-7.5.2-2021.05.22-000011","416","0","0","0",,,""
"metrics-endpoint.metadata_current_default","416","0","0","0",,,""
"pulsesecure-syslog-2021.06.27","390111","161","161","0",,,""
"pulsesecure-syslog-2021.06.26","373640","175","175","0",,,""
"pulsesecure-syslog-2021.06.29","645708","296","296","0",,,""
"pulsesecure-syslog-2021.06.28","768256","488","488","0",,,""
"pulsesecure-syslog-2021.06.23","529146","340","340","0",,,""
"pulsesecure-syslog-2021.06.22","448866","267","267","0",,,""
"pulsesecure-syslog-2021.06.25","714944","256","256","0",,,""
"pulsesecure-syslog-2021.06.24","496277","335","335","0",,,""
"shrink-gq86-filebeat-7.0.1-2021.08.11-000039","416","0","0","0",,,""
"logstash-telecom-dhcp-logs-ilm-2021.09.07-000008","416","0","0","0",,,""
"log_inconnu-2021.06.30","52661990183","40949389","40949389","0",,,""
"shrink-992t-winlogbeat-7.10.1-2021.07.29-000029","416","0","0","0",,,""
"metricbeat-7.13.2-2021.07.04-000005","107624357729","154673189","154673189","0",,,""
"log_inconnu-2021.06.18","51187600622","40424644","40424644","0",,,""
"log_inconnu-2021.06.19","51256318144","40570920","40570920","0",,,""
"log_inconnu-2021.06.16","53012785393","41449003","41449003","0",,,""
"log_inconnu-2021.06.17","51529131752","40950040","40950040","0",,,""
".ml-anomalies-custom-windows_anomalous_user_name_ecs","566","0","0","0",,,""
"shrink-f7db-inspire_log_prod-2021.06.26-000034","416","0","0","0",,,""
"shrink-cqjr-abc_audit_log_prod-2021.08.10-000040","416","0","0","0",,,""
"log_inconnu-2021.06.25","51248303326","39946552","39946552","0",,,""
"log_inconnu-2021.06.26","51520102985","40633269","40633269","0",,,""
"log_inconnu-2021.06.23","51845094114","40704828","40704828","0",,,""
"log_inconnu-2021.06.24","49964862787","39654331","39654331","0",,,""
".kibana-event-log-7.10.0-000010","416","0","0","0",,,""
"shrink-tfh9-inspire_audit_log_prod-2021.08.20-000042","416","0","0","0",,,""
"log_inconnu-2021.06.21","51318544098","40824626","40824626","0",,,""
"log_inconnu-2021.06.22","51594328903","41216655","41216655","0",,,""
"log_inconnu-2021.06.20","51609148580","40612549","40612549","0",,,""
".ml-anomalies-custom-windows_anomalous_service","566","0","0","0",,,""
"metricbeat-7.13.2-2021.08.10-000023","107355654544","154191122","0","0",,,""
".reporting-2020.05.24","5115994","9","0","0",,,""
"metricbeat-7.10.0-2021.05.27-000020","416","0","0","0",,,""
"metricbeat-7.10.0-2021.07.17-000024","416","0","0","0",,,""
"auditbeat-7.10.0-2021.06.03-000010","416","0","0","0",,,""
"filebeat-7.3.1-2021.09.08-000043","416","0","0","0",,,""
